id_estado,estado,id_municipio,municipio,confirmado,muerto,recuperado,activo,sospechoso,negativo,latitud,longitud
7,CHIAPAS,104,TZIMOL,0.0,0.0,0,0.0,0.0,1.0,16.12412661,-92.24643761
7,CHIAPAS,106,VENUSTIANO CARRANZA,0.0,0.0,0,0.0,0.0,1.0,16.31736937,-92.60789179
7,CHIAPAS,108,VILLAFLORES,1.0,0.0,0,1.0,2.0,3.0,16.34620451,-93.37515533
7,CHIAPAS,109,YAJALÓN,0.0,0.0,0,0.0,0.0,5.0,17.18556812,-92.32584203
7,CHIAPAS,111,ZINACANTÁN,0.0,0.0,0,0.0,1.0,0.0,16.72192379,-92.78198094
7,CHIAPAS,113,ALDAMA,0.0,0.0,0,0.0,0.0,1.0,16.92183484,-92.69017699
8,CHIHUAHUA,1,AGUASCALIENTES,2.0,0.0,0,2.0,1.0,0.0,30.45132352,-106.3810846
8,CHIHUAHUA,2,ASIENTOS,0.0,0.0,0,0.0,0.0,1.0,29.07417384,-105.58876670000001
8,CHIHUAHUA,4,COSÍO,0.0,0.0,0,0.0,0.0,1.0,28.582280400000002,-105.82346640000002
8,CHIHUAHUA,5,JESÚS MARÍA,0.0,0.0,0,0.0,0.0,1.0,31.33316265,-107.51982530000001
8,CHIHUAHUA,6,PABELLÓN DE ARTEAGA,4.0,0.0,0,4.0,0.0,0.0,28.85813873,-107.2916568
8,CHIHUAHUA,7,RINCÓN DE ROMOS,0.0,0.0,0,0.0,0.0,1.0,26.75374622,-106.5430442
8,CHIHUAHUA,11,SAN FRANCISCO DE LOS ROMO,1.0,0.0,0,1.0,0.0,3.0,28.03541633,-104.423099
8,CHIHUAHUA,12,GUERRERO,0.0,0.0,0,0.0,0.0,1.0,27.81052482,-107.0633473
8,CHIHUAHUA,13,HIDALGO,0.0,0.0,0,0.0,0.0,4.0,30.19458705,-108.2021811
8,CHIHUAHUA,17,MATAMOROS,1.0,1.0,0,0.0,3.0,13.0,28.72421271,-106.9488225
8,CHIHUAHUA,19,MORELOS,25.0,3.0,0,22.0,56.0,90.0,29.00368447,-106.2328675
8,CHIHUAHUA,21,NADADORES,0.0,0.0,0,0.0,2.0,17.0,28.11955871,-105.4918246
8,CHIHUAHUA,27,RAMOS ARIZPE,0.0,0.0,0,0.0,1.0,2.0,27.15148185,-107.2479741
8,CHIHUAHUA,28,SABINAS,2.0,2.0,0,0.0,0.0,0.0,30.82842342,-105.6413239
8,CHIHUAHUA,29,SACRAMENTO,0.0,0.0,0,0.0,0.0,1.0,26.16882772,-107.034228
8,CHIHUAHUA,30,SALTILLO,0.0,0.0,0,0.0,0.0,1.0,27.39137987,-108.2739656
8,CHIHUAHUA,32,SAN JUAN DE SABINAS,0.0,0.0,0,0.0,3.0,8.0,27.12923337,-105.69702290000001
8,CHIHUAHUA,36,VIESCA,0.0,0.0,0,0.0,2.0,1.0,27.08310474,-104.3906223
8,CHIHUAHUA,37,VILLA UNIÓN,88.0,24.0,0,64.0,139.0,157.0,31.45017322,-106.56411000000001
8,CHIHUAHUA,38,ZARAGOZA,1.0,0.0,0,1.0,0.0,2.0,28.54129097,-105.05448500000001
8,CHIHUAHUA,45,IXTAPANGAJOYA,2.0,0.0,0,2.0,0.0,1.0,28.35067175,-105.50148229999999
8,CHIHUAHUA,48,JUÁREZ,2.0,0.0,0,2.0,1.0,2.0,29.29565863,-107.14017659999999
8,CHIHUAHUA,50,LA LIBERTAD,0.0,0.0,0,0.0,0.0,4.0,30.533290700000002,-107.7290321
8,CHIHUAHUA,51,MAPASTEPEC,0.0,0.0,0,0.0,2.0,0.0,28.15376439,-108.20486310000001
8,CHIHUAHUA,52,LAS MARGARITAS,1.0,0.0,0,1.0,1.0,8.0,29.36729328,-104.5259214
8,CHIHUAHUA,53,MAZAPA DE MADERO,0.0,0.0,0,0.0,1.0,0.0,31.23823135,-105.9259082
8,CHIHUAHUA,55,METAPA,0.0,0.0,0,0.0,1.0,1.0,28.20545452,-105.7477063
8,CHIHUAHUA,60,OCOTEPEC,0.0,0.0,0,0.0,1.0,0.0,26.80395894,-105.78291270000001
8,CHIHUAHUA,62,OSTUACÁN,1.0,0.0,0,1.0,3.0,2.0,28.00146959,-105.34276129999999
9,CIUDAD DE MÉXICO,2,ASIENTOS,94.0,7.0,0,87.0,101.0,284.0,19.48533031,-99.18210743
9,CIUDAD DE MÉXICO,3,CALVILLO,123.0,8.0,0,115.0,126.0,366.0,19.32666943,-99.15037637
9,CIUDAD DE MÉXICO,4,COSÍO,101.0,3.0,0,98.0,35.0,165.0,19.32464809,-99.31072356
9,CIUDAD DE MÉXICO,5,JESÚS MARÍA,238.0,38.0,0,200.0,294.0,563.0,19.50407755,-99.11586776
9,CIUDAD DE MÉXICO,6,PABELLÓN DE ARTEAGA,83.0,5.0,0,78.0,118.0,222.0,19.39691272,-99.09432915
9,CIUDAD DE MÉXICO,7,RINCÓN DE ROMOS,280.0,28.0,0,252.0,316.0,611.0,19.349168,-99.05679909
9,CIUDAD DE MÉXICO,8,SAN JOSÉ DE GRACIA,50.0,6.0,0,44.0,69.0,273.0,19.2689861,-99.26840927
9,CIUDAD DE MÉXICO,9,TEPEZALÁ,37.0,0.0,0,37.0,48.0,94.0,19.13947314,-99.05109229
9,CIUDAD DE MÉXICO,10,EL LLANO,163.0,15.0,0,148.0,146.0,438.0,19.3361883,-99.24681284
9,CIUDAD DE MÉXICO,11,SAN FRANCISCO DE LOS ROMO,37.0,2.0,0,35.0,139.0,195.0,19.27700336,-99.00281798
9,CIUDAD DE MÉXICO,12,GUERRERO,186.0,8.0,0,178.0,134.0,419.0,19.19836888,-99.20621816
9,CIUDAD DE MÉXICO,13,HIDALGO,93.0,8.0,0,85.0,117.0,313.0,19.24515244,-99.09036248
9,CIUDAD DE MÉXICO,14,JIMÉNEZ,96.0,5.0,0,91.0,87.0,434.0,19.3806437,-99.1611345
9,CIUDAD DE MÉXICO,15,JUÁREZ,139.0,12.0,0,127.0,130.0,379.0,19.4313762,-99.14905533
9,CIUDAD DE MÉXICO,16,LAMADRID,171.0,6.0,0,165.0,61.0,364.0,19.42806644,-99.20456564
9,CIUDAD DE MÉXICO,17,MATAMOROS,93.0,10.0,0,83.0,86.0,239.0,19.43049689,-99.09310561
10,DURANGO,4,COSÍO,0.0,0.0,0,0.0,0.0,3.0,24.69599146,-103.7002017
10,DURANGO,5,JESÚS MARÍA,5.0,0.0,0,5.0,18.0,97.0,23.97106923,-104.8436264
10,DURANGO,6,PABELLÓN DE ARTEAGA,1.0,0.0,0,1.0,0.0,0.0,24.76201409,-103.2122652
10,DURANGO,7,RINCÓN DE ROMOS,10.0,4.0,0,6.0,57.0,142.0,25.72805462,-103.49062359999999
10,DURANGO,8,SAN JOSÉ DE GRACIA,1.0,0.0,0,1.0,2.0,0.0,24.41290236,-104.07332290000001
10,DURANGO,11,SAN FRANCISCO DE LOS ROMO,0.0,0.0,0,0.0,0.0,1.0,25.72674177,-104.99580290000002
10,DURANGO,12,GUERRERO,1.0,0.0,0,1.0,17.0,20.0,25.4779171,-103.68590379999999
10,DURANGO,13,HIDALGO,1.0,0.0,0,1.0,0.0,3.0,26.14715378,-104.1315187
10,DURANGO,15,JUÁREZ,0.0,0.0,0,0.0,0.0,1.0,25.24737266,-104.0776307
10,DURANGO,18,MONCLOVA,0.0,0.0,0,0.0,0.0,2.0,25.54958047,-105.21609479999998
10,DURANGO,22,NAVA,0.0,0.0,0,0.0,1.0,0.0,24.00365319,-104.0219676
10,DURANGO,23,OCAMPO,0.0,0.0,0,0.0,0.0,5.0,23.41210416,-105.31448459999999
10,DURANGO,24,PARRAS,0.0,0.0,0,0.0,0.0,2.0,25.19543662,-104.5616453
10,DURANGO,27,RAMOS ARIZPE,0.0,0.0,0,0.0,0.0,1.0,24.64779795,-102.7180312
