,confirmado,negativo,sospechoso,muerto,recuperado,activo,estado,municipio,id_estado,id_municipio,entidad_qa,municipio_qa,id_estado,estado,id_municipio,municipio,confirmado,muerto,recuperado,activo,sospechoso,negativo,latitud,longitud
"(5, 31)",2,18,1,1,0,1,COAHUILA DE ZARAGOZA,SAN BUENAVENTURA,5,31,V,V,5,COAHUILA DE ZARAGOZA,31,SAN BUENAVENTURA,2,1,0,1,1,18,27.84237258,-101.9697965
"(5, 32)",3,35,1,0,0,3,COAHUILA DE ZARAGOZA,SAN JUAN DE SABINAS,5,32,V,V,5,COAHUILA DE ZARAGOZA,32,SAN JUAN DE SABINAS,3,0,0,3,1,35,28.0640757,-101.3898142
"(5, 33)",1,40,7,0,0,1,COAHUILA DE ZARAGOZA,SAN PEDRO,5,33,V,V,5,COAHUILA DE ZARAGOZA,33,SAN PEDRO,1,0,0,1,7,40,26.08478116,-102.7178723
"(5, 35)",26,345,62,1,0,25,COAHUILA DE ZARAGOZA,TORREÓN,5,35,V,V,5,COAHUILA DE ZARAGOZA,35,TORREÓN,26,1,0,25,62,345,25.17079523,-103.2491336
"(5, 36)",0,3,0,0,0,0,COAHUILA DE ZARAGOZA,VIESCA,5,36,V,V,5,COAHUILA DE ZARAGOZA,36,VIESCA,0,0,0,0,0,3,25.22230528,-102.9250519
"(5, 37)",0,4,0,0,0,0,COAHUILA DE ZARAGOZA,VILLA UNIÓN,5,37,V,V,5,COAHUILA DE ZARAGOZA,37,VILLA UNIÓN,0,0,0,0,0,4,28.09764068,-100.7803007
"(5, 38)",0,4,0,0,0,0,COAHUILA DE ZARAGOZA,ZARAGOZA,5,38,V,V,5,COAHUILA DE ZARAGOZA,38,ZARAGOZA,0,0,0,0,0,4,28.81279567,-101.3953675
"(5, 999)",0,1,0,0,0,0,COAHUILA DE ZARAGOZA,NO ESPECIFICADO,5,999,FALSE,FALSE,,,,,,,,,,,,
"(6, 1)",0,5,2,0,0,0,COLIMA,ARMERÍA,6,1,V,V,6,COLIMA,1,ARMERÍA,0,0,0,0,2,5,19.00929185,-103.9984171
"(6, 2)",4,29,3,0,0,4,COLIMA,COLIMA,6,2,V,V,6,COLIMA,2,COLIMA,4,0,0,4,3,29,19.11617032,-103.632691
"(6, 3)",0,5,0,0,0,0,COLIMA,COMALA,6,3,V,V,6,COLIMA,3,COMALA,0,0,0,0,0,5,19.39346607,-103.7699857
"(6, 5)",1,2,0,0,0,1,COLIMA,CUAUHTÉMOC,6,5,V,V,6,COLIMA,5,CUAUHTÉMOC,1,0,0,1,0,2,19.326886,-103.5955029
"(6, 7)",7,23,2,2,0,5,COLIMA,MANZANILLO,6,7,V,V,6,COLIMA,7,MANZANILLO,7,2,0,5,2,23,19.14956207,-104.3027337
"(6, 9)",0,25,3,0,0,0,COLIMA,TECOMÁN,6,9,V,V,6,COLIMA,9,TECOMÁN,0,0,0,0,3,25,18.86295448,-105.0391214
"(6, 10)",3,20,3,0,0,3,COLIMA,VILLA DE ÁLVAREZ,6,10,V,V,6,COLIMA,10,VILLA DE ÁLVAREZ,3,0,0,3,3,20,19.30961705,-103.8444285
"(7, 1)",0,1,0,0,0,0,CHIAPAS,ACACOYAGUA,7,1,V,V,7,CHIAPAS,1,ACACOYAGUA,0,0,0,0,0,1,15.4141544,-92.68168153
"(7, 2)",0,1,0,0,0,0,CHIAPAS,ACALA,7,2,V,V,7,CHIAPAS,2,ACALA,0,0,0,0,0,1,16.53778863,-92.84090665
"(7, 5)",0,1,0,0,0,0,CHIAPAS,AMATÁN,7,5,V,V,7,CHIAPAS,5,AMATÁN,0,0,0,0,0,1,17.38562152,-92.85734448
